0 Hour,,6 Hour,,9 Hour,,15 Hour,,19 Hour,,22 Hour,,24 Hour,,48 Hour,
chemical shift (ppm),Intensity (a.u.),chemical shift (ppm),Intensity (a.u.),chemical shift (ppm),Intensity (a.u.),chemical shift (ppm),Intensity (a.u.),chemical shift (ppm),Intensity (a.u.),chemical shift (ppm),Intensity (a.u.),chemical shift (ppm),Intensity (a.u.),chemical shift (ppm),Intensity (a.u.)
-70.2491,824.031,-70.6679,-4459.9111,-70.2491,8224.06895,-70.2761,1591.29141,-70.3166,-1769.43219,-70.3252,5732.3,-70.3775,-5239.36,-70.1275,328.83333
-70.2356,409.219,-70.6544,-5197.7437,-70.2356,8277.90144,-70.2626,1452.70363,-70.3031,-1627.03219,-70.3117,5756.975,-70.364,-47.672,-70.1005,1925.97333
-70.2221,213.281,-70.6409,-5895.89629,-70.2221,8336.68221,-70.2491,1320.93106,-70.2896,-1486.93703,-70.2982,5776.75,-70.3505,-5548.34,-70.0734,1394.16444
-70.2085,231.812,-70.6274,-6545.40889,-70.2085,8401.8276,-70.2356,1197.37369,-70.2761,-1350.49672,-70.2847,5791.375,-70.3369,10443.5,-70.0464,86.80533
-70.195,131.625,-70.6139,-7142.44149,-70.195,8474.00464,-70.2221,1083.03147,-70.2626,-1218.51126,-70.2712,5800.65,-70.3234,10009.9,-70.0194,-1433.52889
-70.1815,-195.781,-70.6004,-7679.31409,-70.1815,8555.13008,-70.2085,979.03721,-70.2491,-1091.68063,-70.2577,5804.4,-70.3099,825.109,-69.9924,-3355.69333
-70.168,-414.562,-70.5868,-8148.66367,-70.168,8645.70394,-70.195,886.17533,-70.2356,-970.65485,-70.2442,5802.425,-70.2964,-3112.86,-69.9653,-4451.28889
-70.1545,-288.937,-70.5733,-8549.85627,-70.1545,8745.72627,-70.1815,805.27852,-70.2221,-855.4839,-70.2307,5794.65,-70.2829,-686.031,-69.9383,-3451.80444
-70.141,-0.34375,-70.5598,-8878.08887,-70.141,8855.6971,-70.168,737.14675,-70.2085,-746.25917,-70.2172,5780.95,-70.2694,5162.14,-69.9113,-1894
-70.1275,260.844,-70.5463,-9129.52147,-70.1275,8974.61648,-70.1545,682.12999,-70.195,-642.94793,-70.2037,5761.275,-70.2559,7725.34,-69.8843,-2154.47111
-70.114,515.969,-70.5328,-9304.15406,-70.114,9100.98445,-70.141,640.82821,-70.1815,-545.09152,-70.1901,5735.55,-70.2424,6867.88,-69.8573,-3458.69333
-70.1005,831.625,-70.5193,-9401.98666,-70.1005,9234.30104,-70.1275,613.49138,-70.168,-452.33995,-70.1766,5703.85,-70.2289,18141.3,-69.8302,-3343.64
-70.0869,1310.22,-70.5058,-9420.45926,-70.0869,9371.97918,-70.114,600.41946,-70.1545,-363.89319,-70.1631,5666.2,-70.2153,1728.53,-69.8032,-2104.27556
-70.0734,2009.16,-70.4923,-9362.13186,-70.0734,9511.19276,-70.1005,601.61243,-70.141,-279.15127,-70.1496,5622.675,-70.2018,4034.8,-69.7762,-1984.77778
-70.0599,2772.63,-70.4788,-9229.56446,-70.0599,9648.85509,-70.0869,617.10407,-70.1275,-197.21417,-70.1361,5573.4,-70.1883,5529.12,-69.7492,-2899.41778
-70.0464,3371.19,-70.4652,-9023.07404,-70.0464,9782.46619,-70.0734,646.67683,-70.114,-117.18189,-70.1226,5518.6,-70.1748,4244.44,-69.7222,-3022.33333
-70.0329,3631.62,-70.4517,-8748.42664,-70.0329,9908.52611,-70.0599,690.21439,-70.1005,-38.25443,-70.1091,5458.4,-70.1613,5438.83,-69.6951,-2719.36
-70.0194,3549.25,-70.4382,-8408.49924,-70.0194,10022.5349,-70.0464,747.36671,-70.0869,40.52651,-70.0956,5393.125,-70.1478,3096.05,-69.6681,-3485.13778
-70.0059,3318.72,-70.4247,-8004.57184,-70.0059,10120.99258,-70.0329,817.83377,-70.0734,119.8943,-70.0821,5323.025,-70.1343,-150.813,-69.6411,-3871.83111
-69.9924,3037.31,-70.4112,-7544.32443,-69.9924,10200.39921,-70.0194,901.01554,-70.0599,200.50727,-70.0685,5248.4,-70.1208,-6721.11,-69.6141,-1584.13778
-69.9789,2655.09,-70.3977,-7030.31703,-69.9789,10256.75481,-70.0059,996.51198,-70.0464,283.06544,-70.055,5169.625,-70.1073,-2766.59,-69.587,838.94222
-69.9653,2182.5,-70.3842,-6466.38963,-69.9653,10286.4689,-69.9924,1103.67307,-70.0329,368.16879,-70.0415,5087.075,-70.0938,12555.9,-69.56,-1659.83556
-69.9518,1679.84,-70.3707,-5858.94223,-69.9518,10286.2222,-69.9789,1221.84877,-70.0194,456.16734,-70.028,5001.15,-70.0802,-710.188,-69.533,-7979.51111
-69.9383,1190.03,-70.3572,-5213.09483,-69.9383,10252.92459,-69.9653,1350.42385,-70.0059,547.16108,-70.0145,4912.3,-70.0667,-8125.8,-69.506,-10588.26667
-69.9248,744.406,-70.3437,-4531.40743,-69.9248,10184.07612,-69.9518,1488.47879,-69.9924,641.30001,-70.001,4820.9,-70.0532,-6991.12,-69.479,-5984.31111
-69.9113,325.75,-70.3301,-3819.31701,-69.9113,10078.17683,-69.9383,1635.34826,-69.9789,738.28415,-69.9875,4727.475,-70.0397,3294.33,-69.4519,70.47244
-69.8978,-71.6875,-70.3166,-3083.86961,-69.8978,9932.72675,-69.9248,1790.08223,-69.9653,838.02146,-69.974,4632.425,-70.0262,-1403.31,-69.4249,806.13778
-69.8843,-428.969,-70.3031,-2330.5022,-69.8843,9747.72592,-69.9113,1951.88065,-69.9518,939.89596,-69.9605,4536.25,-70.0127,603.5,-69.3979,-2674.36
-69.8708,-692.375,-70.2896,-1561.7748,-69.8708,9522.67438,-69.8978,2119.84351,-69.9383,1043.41567,-69.9469,4439.425,-69.9992,4069.61,-69.3709,-4408.97333
-69.8573,-623.25,-70.2761,-782.8074,-69.8573,9258.07217,-69.8843,2292.77077,-69.9248,1147.73058,-69.9334,4342.4,-69.9857,2507.7,-69.3439,-1973.30667
-69.8438,99.9688,-70.2626,1.47918,-69.8438,8955.41934,-69.8708,2469.81241,-69.9113,1252.1407,-69.9199,4245.65,-69.9722,3817.78,-69.3168,1933.80444
-69.8302,1359.22,-70.2491,789.38767,-69.8302,8615.62162,-69.8573,2649.76839,-69.8978,1355.54603,-69.9064,4149.625,-69.9586,2146.63,-69.2898,4011.38667
-69.8167,2564.81,-70.2356,1574.71246,-69.8167,8241.36727,-69.8438,2831.58868,-69.8843,1457.19657,-69.8929,4054.775,-69.9451,6797.78,-69.2628,3192.47111
-69.8032,3221.66,-70.2221,2351.05347,-69.8032,7835.06241,-69.8302,3014.15911,-69.8708,1555.89233,-69.8794,3961.55,-69.9316,14724.7,-69.2358,471.60889
-69.7897,3358.22,-70.2085,3118.12136,-69.7897,7400.70708,-69.8167,3196.05804,-69.8573,1650.8333,-69.8659,3870.35,-69.9181,12537,-69.2087,-1728.69333
-69.7762,3282.84,-70.195,3870.09446,-69.7762,6940.80131,-69.8032,3376.17119,-69.8438,1741.01949,-69.8524,3781.6,-69.9046,1511.25,-69.1817,-1383.19556
-69.7627,3106.03,-70.1815,4602.84358,-69.7627,6460.84515,-69.7897,3553.29853,-69.8302,1825.60852,-69.8389,3695.675,-69.8911,-6242.62,-69.1547,472.24889
-69.7492,2869.25,-70.168,5317.64867,-69.7492,5963.83864,-69.7762,3726.04003,-69.8167,1903.73512,-69.8253,3613,-69.8776,2278.66,-69.1277,784.86222
-69.7357,2761.44,-70.1545,6009.38966,-69.7357,5454.2818,-69.7627,3893.09566,-69.8032,1974.85694,-69.8118,3533.9,-69.8641,753.391,-69.1007,-824.83556
-69.7222,2933.72,-70.141,6679.34647,-69.7222,4937.1747,-69.7492,4053.16539,-69.7897,2038.32399,-69.7983,3458.675,-69.8506,8866.56,-69.0736,-1337.64
-69.7086,3345.5,-70.1275,7322.39905,-69.7086,4416.91971,-69.7357,4204.99919,-69.7762,2093.98626,-69.7848,3387.675,-69.837,4956.98,-69.0466,239.97244
-69.6951,3709.81,-70.114,7943.66732,-69.6951,3896.71179,-69.7222,4347.34703,-69.7627,2141.34377,-69.7713,3321.15,-69.8235,-3028.7,-69.0196,360.05556
-69.6816,3696.19,-70.1005,8540.59122,-69.6816,3381.95372,-69.7086,4478.89568,-69.7492,2180.54651,-69.7578,3259.35,-69.81,-5468,-68.9926,-3482.77778
